Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
RN7SKP120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RN7SKP151,2,2,0,0,1,1,1,0,1,1,2,0,0,5,1,0
RN7SKP152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RN7SKP154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP16,14,15,8,8,0,9,1,12,6,15,7,2,1,15,9,10
RN7SKP160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP173,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RN7SKP174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RN7SKP186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RN7SKP204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
